Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
"Marin Bobcat Trail 4 29""",marin-bobcat-trail-4-29,"<p><em>Mid-Range Modern Hardtail · 27.5&quot;/29&quot;</em></p>
<p>Where the Bobcat platform hits a real sweet spot. Keeps the Series 2 aluminum frame and modern trail geometry but steps up the drivetrain to Shimano CUES 10-speed (crisp, wide-range 1x shifting), upgrades the fork, and bumps the front brake to a 180mm rotor for more stopping power. Ready for aggressive singletrack, with plenty of room for upgrades later.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 2 6061 Aluminum, 27.5&quot;/29&quot; Wheels, Low Standover, Internal Housing &amp; Dropper Routing</li>
  <li><strong>Fork:</strong> SR/Suntour XCM HLO-DS, 120mm Travel, Hydraulic Lockout</li>
  <li><strong>Rear Derailleur:</strong> Shimano CUES, 10-speed (or microSHIFT on some model years)</li>
  <li><strong>Brakes:</strong> Tektro M275 Hydraulic Disc, 180mm front / 160mm rear rotors</li>
  <li><strong>Rims:</strong> Marin Aluminum Double Wall, 25mm Inner</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 2 6061 Aluminum, 27.5&quot;/29&quot; Wheels, Low Standover, Internal Housing &amp; Dropper Routing</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>SR/Suntour XCM HLO-DS, 120mm Travel, Hydraulic Lockout</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano CUES, 10-speed (or microSHIFT on some model years)</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano CUES 1x10</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Tektro M275 Hydraulic Disc, 180mm front / 160mm rear rotors</td>
    </tr>
    <tr>
      <td><strong>Rims</strong></td>
      <td>Marin Aluminum Double Wall, 25mm Inner</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>MTB 27.5&quot;/29&quot; x 2.25&quot;–2.4&quot;</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Mountain Bike,"Bike, Marin, Mountain Bike, 29"" wheels",TRUE,Active,737528001,843346126474,Size,Medium,,Color,Black/Purple,,,,,1060.00,,637.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_BIKES_BOBCAT_TRAIL_4_275_BLUE_SIDE_grande.png?v=1753779684,1,Marin Bobcat Trail 4 - ChainLine Cycle,,FALSE,"Marin Bobcat Trail 4 29"" | Marin Bicycle","Mid-Range Modern Hardtail · 27.5&quot;/29&quot; Where the Bobcat platform hits a real sweet spot. Keeps the Series 2 aluminum frame and modern trail geometry but steps up the drivetrain to Shimano CUES 10-speed (crisp, wide-range 1x shifting), upgrades the fork, and bumps the front brake to a 180mm ",black; purple,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),737528001,,,New,FALSE,,,,,
,marin-bobcat-trail-4-29,,,,,,,,737528002,843346126498,,Large,,,Black/Purple,,,,,1060.00,,637.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,,,,,,,,,,,,737528002,,,,,,,,,
"Marin Wildcat Trail 1 27.5""",marin-wildcat-trail-1-27-5,"<p><em>Women's Recreational Hardtail · 27.5&quot;</em></p>
<p>Marin's entry-level women's mountain bike — a proper gateway to the dirt, not a token gesture. Built around a women's-specific Series 1 aluminum frame with a low standover and Women's Fit Geometry (narrower bars, women's saddle, adjustable-reach brake levers), so female riders feel immediately at home. SR Suntour fork with 100mm travel, grippy 27.5&quot; x 2.25&quot; MTB tires, disc brakes, and a Shimano drivetrain round it out.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 1 6061 Aluminum, Women's Specific Frame, 27.5&quot; Wheels, Low Standover, 68mm BB, 135mm Forged Dropouts, Chainstay-Mounted Disc Brakes</li>
  <li><strong>Fork:</strong> SR Suntour XCE Disc, 100mm Travel, Preload Adjustment, 46mm Offset</li>
  <li><strong>Rear Derailleur:</strong> Shimano Tourney, 7-speed</li>
  <li><strong>Brakes:</strong> Mechanical Disc, 160mm rotors</li>
  <li><strong>Tires:</strong> MTB 27.5&quot; x 2.25&quot;</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 1 6061 Aluminum, Women's Specific Frame, 27.5&quot; Wheels, Low Standover, 68mm BB, 135mm Forged Dropouts, Chainstay-Mounted Disc Brakes</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>SR Suntour XCE Disc, 100mm Travel, Preload Adjustment, 46mm Offset</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Tourney, 7-speed</td>
    </tr>
    <tr>
      <td><strong>Drivetrain</strong></td>
      <td>Shimano 3x7 (42/34/24T × 14-34T)</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Mechanical Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>MTB 27.5&quot; x 2.25&quot;</td>
    </tr>
    <tr>
      <td><strong>Women's-specific</strong></td>
      <td>Narrower bars, adjustable-reach levers, women's saddle</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Mountain Bike,"Bike, Marin, Mountain Bike, 27.5"" wheels, Women's",TRUE,Active,737630003,843346124494,Size,Medium,,Color,Black,,,,,860.00,,515.60,TRUE,,,,,,shopify,1,DENY,13500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_FAIRFAX_E_SILVER_SIDE.png?v=1753785175&width=500,1,Marin Wildcat Trail 1 - ChainLine Cycle,,FALSE,"Marin Wildcat Trail 1 27.5"" | Marin Bicycle","Women's Recreational Hardtail · 27.5&quot; Marin's entry-level women's mountain bike — a proper gateway to the dirt, not a token gesture. Built around a women's-specific Series 1 aluminum frame with a low standover and Women's Fit Geometry (narrower bars, women's saddle, adjustable-reach brake lever",black,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Female,Adult (13+ years old),737630003,,,New,FALSE,,,,,
"Marin Pine Mountain 1 29""",marin-pine-mountain-1-29,"<p><em>Steel Bikepacking Hardtail · 29&quot;</em></p>
<p>Marin's budget-friendly steel bikepacking hardtail. A classic with modern trail capabilities — the Pine Mountain 1's Series 2 double-butted CrMo frame has Boost 141mm dropouts, tons of bikepacking mounts (brazed-in cargo attachment points inside the front triangle), and the signature Marin Bedroll handlebar with 50mm rise and long straight top bar for cleanly running handlebar packs. A RockShox Recon RL 120mm fork, Shimano drivetrain, and 2.6&quot; Vee Flow Snap tubeless-ready tires complete a genuinely adventure-ready steel hardtail. Steel is real.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 2 Double-Butted CrMo, 29&quot; Wheels, Boost 141x9mm Open Dropout, 73mm Threaded BB, Plentiful Gear Mounts, Internal Dropper Routing</li>
  <li><strong>Fork:</strong> RockShox Recon RL, 120mm Travel, Compression &amp; Rebound Adjustment, Alloy Tapered Steerer, Solo Air Spring, 110x15mm Boost, Maxle Stealth, 51mm Offset</li>
  <li><strong>Rear Derailleur:</strong> Shimano Deore, 10/11-Speed</li>
  <li><strong>Brakes:</strong> Shimano Hydraulic Disc, 180/160mm rotors</li>
  <li><strong>Rims:</strong> Alloy Double-Wall, Offset Spoke, 32mm Internal, Tubeless Compatible</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 2 Double-Butted CrMo, 29&quot; Wheels, Boost 141x9mm Open Dropout, 73mm Threaded BB, Plentiful Gear Mounts, Internal Dropper Routing</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>RockShox Recon RL, 120mm Travel, Compression &amp; Rebound Adjustment, Alloy Tapered Steerer, Solo Air Spring, 110x15mm Boost, Maxle Stealth, 51mm Offset</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Deore, 10/11-Speed</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>1x with narrow-wide chainring</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Shimano Hydraulic Disc, 180/160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Rims</strong></td>
      <td>Alloy Double-Wall, Offset Spoke, 32mm Internal, Tubeless Compatible</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>Vee Tire Co. Flow Snap, 29&quot; x 2.6&quot;, Wire Bead</td>
    </tr>
    <tr>
      <td><strong>Handlebar</strong></td>
      <td>Marin Bedroll Bar, 50mm rise, long straight top bar</td>
    </tr>
    <tr>
      <td><strong>Dropper</strong></td>
      <td>Internally routed, dropper post compatible</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Mountain Bike,"Bike, Marin, Mountain Bike, 29"" wheels",TRUE,Active,735968003,843346120427,Size,Large,,Color,Grey,,,,,1960.00,,1287.60,TRUE,,,,,,shopify,1,DENY,14000,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2024_MARIN_BIKES_PINE_MOUNTAIN_1_BLUE_SIDE_1_grande.png?v=1753864935,1,Marin Pine Mountain 1 - ChainLine Cycle,,FALSE,"Marin Pine Mountain 1 29"" | Marin Bicycle","Steel Bikepacking Hardtail · 29&quot; Marin's budget-friendly steel bikepacking hardtail. A classic with modern trail capabilities — the Pine Mountain 1's Series 2 double-butted CrMo frame has Boost 141mm dropouts, tons of bikepacking mounts (brazed-in cargo attachment points inside the front triang",gray,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),735968003,,,New,FALSE,,,,,
Marin Fairfax 1,marin-fairfax-1,"<p><em>Entry-Level Fitness Hybrid · 700C</em></p>
<p>Named &quot;Best Hybrid&quot; many years running by Wirecutter — and for good reason. The most affordable Fairfax is built around a lightweight Series 1 aluminum frame and sturdy CrMo fork, with a 3x7-speed Shimano drivetrain that gives you huge gear range for any terrain. Tektro mechanical discs, internal cable routing, full rack/fender/kickstand mounts. A genuinely practical do-it-all commuter and fitness bike at a friendly price.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 1 Fitness, 6061 Aluminum, 700C Wheels, Disc Brake, Internal Cable Routing, Fender/Rack/Kickstand Mounts</li>
  <li><strong>Fork:</strong> CrMo Steel, Straight Blade, Disc Mount, Fender &amp; Rack Eyelets</li>
  <li><strong>Drivetrain:</strong> Shimano Tourney 3x7-Speed (48/38/28T triple crank)</li>
  <li><strong>Brakes:</strong> Tektro Mechanical Disc, 160mm rotors</li>
  <li><strong>Tires:</strong> Vee Tire 700C x 32-35mm</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 1 Fitness, 6061 Aluminum, 700C Wheels, Disc Brake, Internal Cable Routing, Fender/Rack/Kickstand Mounts</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>CrMo Steel, Straight Blade, Disc Mount, Fender &amp; Rack Eyelets</td>
    </tr>
    <tr>
      <td><strong>Drivetrain</strong></td>
      <td>Shimano Tourney 3x7-Speed (48/38/28T triple crank)</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano EF-500 EZ-Fire</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>SunRace 7-Speed, 11-34T</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Tektro Mechanical Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>Vee Tire 700C x 32-35mm</td>
    </tr>
    <tr>
      <td><strong>Handlebar</strong></td>
      <td>Marin Fitness Riser</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Dual-Sport Bike,"Bike, Marin, Dual-Sport Bike",TRUE,Active,733952003,2100000286850,Size,Medium,,Color,Black,,,,,700.00,,423.60,TRUE,,,,,,shopify,1,DENY,12500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_FAIRFAX_1_RED_SIDE_4f661e02-11de-454f-bb55-5ef9d8d805fc_grande.png?v=1755769099,1,Marin Fairfax 1 - ChainLine Cycle,,FALSE,Marin Fairfax 1 | Marin Bicycle,"Entry-Level Fitness Hybrid · 700C Named &quot;Best Hybrid&quot; many years running by Wirecutter — and for good reason. The most affordable Fairfax is built around a lightweight Series 1 aluminum frame and sturdy CrMo fork, with a 3x7-speed Shimano drivetrain that gives you huge gear range for any t",black; orange,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),733952003,,,New,FALSE,,,,,
,marin-fairfax-1,,,,,,,,740836002,846646136398,,Small,,,Roarange,,,,,700.00,,458.08,TRUE,,,,,,shopify,1,DENY,12500,g,TRUE,manual,,,,,,,,,,,,740836002,,,,,,,,,
,marin-fairfax-1,,,,,,,,740836004,843346136435,,Large,,,Roarange,,,,,700.00,,458.08,TRUE,,,,,,shopify,1,DENY,12500,g,TRUE,manual,,,,,,,,,,,,740836004,,,,,,,,,
Marin Kentfield ST 1,marin-kentfield-st-1,"<p><em>Casual Commuter Step-Thru · 700C</em></p>
<p>A retro-modern, stylish, affordable commuter that genuinely does it all — school runs, bike paths, coffee-date b-lines, grocery runs. Built around a lightweight Series 1 aluminum step-thru frame with CrMo moto-blade fork, rack/fender mounts, and Marin's upright hybrid geometry. The ST 1 is the most approachable spec, with a Shimano Tourney 7-speed drivetrain, Clark's mechanical disc brakes, and flat-protected Vee 40mm tires that handle city streets and light dirt paths with equal ease.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 1 City+Sport, 6061 Aluminum, 700C Wheels, Step-Thru Design, Fender &amp; Rack Mounts</li>
  <li><strong>Fork:</strong> CrMo Steel, Moto Blade, Disc Specific, Fender &amp; Rack Eyelets</li>
  <li><strong>Rear Derailleur:</strong> Shimano Tourney, 7-Speed</li>
  <li><strong>Brakes:</strong> Clark's CMD-23 Mechanical Disc, Shimano Pad Compatible, 160mm rotors</li>
  <li><strong>Tires:</strong> Vee Tire Co. GPVee, 700C x 40mm, Flat Protection, Mixed Terrain Ready</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 1 City+Sport, 6061 Aluminum, 700C Wheels, Step-Thru Design, Fender &amp; Rack Mounts</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>CrMo Steel, Moto Blade, Disc Specific, Fender &amp; Rack Eyelets</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Tourney, 7-Speed</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano Altus RapidFire 7-speed</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>Forged Alloy, 38T with ring guard</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>SunRace 7-Speed, 11-34T</td>
    </tr>
    <tr>
      <td><strong>Chain</strong></td>
      <td>KMC Z8</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Clark's CMD-23 Mechanical Disc, Shimano Pad Compatible, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>Vee Tire Co. GPVee, 700C x 40mm, Flat Protection, Mixed Terrain Ready</td>
    </tr>
    <tr>
      <td><strong>Handlebar</strong></td>
      <td>Marin Alloy, 30mm rise, 12° backsweep</td>
    </tr>
    <tr>
      <td><strong>Saddle</strong></td>
      <td>Marin Adventure Plush</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Comfort/Cruiser Bike,"Bike, Marin, Comfort/Cruiser Bike",TRUE,Active,737574002,843346125514,Size,Medium,,Color,Blue/Silver,,,,,670.00,,436.60,TRUE,,,,,,shopify,1,DENY,14000,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_FAIRFAX_E_SILVER_SIDE.png?v=1753785175&width=500,1,Marin Kentfield ST 1 - ChainLine Cycle,,FALSE,Marin Kentfield ST 1 | Marin Bicycle,"Casual Commuter Step-Thru · 700C A retro-modern, stylish, affordable commuter that genuinely does it all — school runs, bike paths, coffee-date b-lines, grocery runs. Built around a lightweight Series 1 aluminum step-thru frame with CrMo moto-blade fork, rack/fender mounts, and Marin's upright hybri",blue; silver; black; gray,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),737574002,,,New,FALSE,,,,,
,marin-kentfield-st-1,,,,,,,,732440003,843346108999,,Large,,,Black,,,,,670.00,,485.50,TRUE,,,,,,shopify,1,DENY,14000,g,TRUE,manual,,,,,,,,,,,,732440003,,,,,,,,,
,marin-kentfield-st-1,,,,,,,,740846001,846646136848,,Small,,,Grey,,,,,670.00,,439.08,TRUE,,,,,,shopify,1,DENY,14000,g,TRUE,manual,,,,,,,,,,,,740846001,,,,,,,,,
"Marin Stinson 1 27.5""",marin-stinson-1-27-5,"<p><em>Comfort Cruiser · 27.5&quot;</em></p>
<p>An updated take on the classic cruiser for casual, comfortable path riding. The Stinson 1 wraps a lightweight Series 1 aluminum frame around Marin's Comfort Control Geometry — letting you touch the ground with your forefoot while keeping proper saddle height for efficient pedaling. Super-low standover and a plush saddle make it a welcoming ride for new cyclists and anyone wanting a no-fuss, sit-up-and-cruise bike.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Frame:</strong> Series 1 Comfort, 6061 Aluminum, 27.5&quot; Wheels, Comfort Control Geometry, Fender &amp; Rack Mounts</li>
  <li><strong>Fork:</strong> Marin Steel Straight Blade, Disc Specific</li>
  <li><strong>Rear Derailleur:</strong> Shimano Tourney, 7-speed</li>
  <li><strong>Brakes:</strong> Tektro Mechanical Disc, 160mm rotors</li>
  <li><strong>Tires:</strong> Vee Tire Co. Speedster, 27.5&quot; x 2.0&quot;, Puncture Protection</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame</strong></td>
      <td>Series 1 Comfort, 6061 Aluminum, 27.5&quot; Wheels, Comfort Control Geometry, Fender &amp; Rack Mounts</td>
    </tr>
    <tr>
      <td><strong>Fork</strong></td>
      <td>Marin Steel Straight Blade, Disc Specific</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Tourney, 7-speed</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano Altus RapidFire 7-speed</td>
    </tr>
    <tr>
      <td><strong>Crankset</strong></td>
      <td>Forged Alloy, 38T</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>SunRace 7-speed, 14-34T</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Tektro Mechanical Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires</strong></td>
      <td>Vee Tire Co. Speedster, 27.5&quot; x 2.0&quot;, Puncture Protection</td>
    </tr>
    <tr>
      <td><strong>Handlebar</strong></td>
      <td>Marin Alloy Comfort Riser</td>
    </tr>
    <tr>
      <td><strong>Saddle</strong></td>
      <td>Marin Comfort</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Comfort/Cruiser Bike,"Bike, Marin, Comfort/Cruiser Bike, 27.5"" wheels",TRUE,Active,737621002,843346124173,Size,Medium,,Color,Blue,,,,,860.00,,515.60,TRUE,,,,,,shopify,1,DENY,14000,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2024_MARIN_STINSON_1_BLACK_SIDE_grande.png?v=1755792681,1,Marin Stinson 1 - ChainLine Cycle,,FALSE,"Marin Stinson 1 27.5"" | Marin Bicycle","Comfort Cruiser · 27.5&quot; An updated take on the classic cruiser for casual, comfortable path riding. The Stinson 1 wraps a lightweight Series 1 aluminum frame around Marin's Comfort Control Geometry — letting you touch the ground with your forefoot while keeping proper saddle height for efficien",blue,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Adult (13+ years old),737621002,,,New,FALSE,,,,,
Marin Bayview Trail,marin-bayview-trail,"<p><em>Kids' Mountain Bike · 20&quot; or 24&quot;</em></p>
<p>Built to get kids hooked on mountain biking. The Bayview Trail packs a lightweight Series 1 aluminum frame, a real suspension fork (50mm travel on 24&quot;), and disc brakes — hitting that rare kids' bike trifecta of durability, real performance, and fun graphics that hold up for years of neighborhood shredding and bike-park adventures. Short-reach brake levers and kid-specific components mean it's scaled for small hands and small riders. 20&quot; for smaller kids, 24&quot; for bigger ones.</p>
<h3>At a Glance</h3>
<ul>
  <li><strong>Rear Derailleur:</strong> Shimano Altus/Tourney, 7-Speed</li>
  <li><strong>Brakes:</strong> Power CX7 / Tektro MDM280 Mechanical Disc, 160mm rotors</li>
</ul>
<h3>Full Specifications</h3>
<table>
  <tbody>
    <tr>
      <td><strong>Frame (24&quot;)</strong></td>
      <td>Series 1 6061 Aluminum, 24&quot; Wheels, IS Seatstay Disc Mount, 135mm Dropouts</td>
    </tr>
    <tr>
      <td><strong>Fork (24&quot;)</strong></td>
      <td>SR Suntour XCT Jr 24&quot;, Coil Spring, 50mm Travel</td>
    </tr>
    <tr>
      <td><strong>Fork (20&quot;)</strong></td>
      <td>Steel Rigid Fork, 100mm Spacing, QR Lever</td>
    </tr>
    <tr>
      <td><strong>Rear Derailleur</strong></td>
      <td>Shimano Altus/Tourney, 7-Speed</td>
    </tr>
    <tr>
      <td><strong>Shifter</strong></td>
      <td>Shimano Revo Twist 1x7</td>
    </tr>
    <tr>
      <td><strong>Crankset (24&quot;)</strong></td>
      <td>Forged Alloy, 30T, 152mm, Ring Guard</td>
    </tr>
    <tr>
      <td><strong>Crankset (20&quot;)</strong></td>
      <td>Forged Alloy, 36T, 140mm, Ring Guard</td>
    </tr>
    <tr>
      <td><strong>Cassette</strong></td>
      <td>Shimano HG-20 7-Speed, 12-32T (or SunRace 11-32T)</td>
    </tr>
    <tr>
      <td><strong>Brakes</strong></td>
      <td>Power CX7 / Tektro MDM280 Mechanical Disc, 160mm rotors</td>
    </tr>
    <tr>
      <td><strong>Tires (24&quot;)</strong></td>
      <td>Vee Tire Crown Gem 24&quot; x 2.25&quot;</td>
    </tr>
    <tr>
      <td><strong>Tires (20&quot;)</strong></td>
      <td>Multi-surface 20&quot; x 2.125&quot;</td>
    </tr>
    <tr>
      <td><strong>Kid-specific</strong></td>
      <td>Short-reach brake levers, narrow grips, kid-size saddle, short crank arms</td>
    </tr>
  </tbody>
</table>",Marin,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Kids Bike,"Bike, Marin, Kids Bike, Kids",TRUE,Active,740697001,843346134899,Size,"20""",,Color,Teal/Silver,,,,,600.00,,457.77,TRUE,,,,,,shopify,1,DENY,9500,g,TRUE,manual,https://marinbikes.com/cdn/shop/files/2025_MARIN_BIKES_BAYVIEW_TRAIL_24_RED_SIDE_b00a2921-5476-4067-9ed7-c48ee7cd06c1.png?v=1755780477&width=500,1,Marin Bayview Trail - ChainLine Cycle,,FALSE,Marin Bayview Trail | Marin Bicycle,"Kids' Mountain Bike · 20&quot; or 24&quot; Built to get kids hooked on mountain biking. The Bayview Trail packs a lightweight Series 1 aluminum frame, a real suspension fork (50mm travel on 24&quot;), and disc brakes — hitting that rare kids' bike trifecta of durability, real performance, and fun gr",blue; silver; black; gold; gray; green; red,Sporting Goods > Outdoor Recreation > Cycling > Bicycles,Unisex,Kids,740697001,,,New,FALSE,,,,,
,marin-bayview-trail,,,,,,,,740696001,843346134882,,"20""",,,Black/Gold,,,,,600.00,,457.77,TRUE,,,,,,shopify,2,DENY,9500,g,TRUE,manual,,,,,,,,,,,,740696001,,,,,,,,,
,marin-bayview-trail,,,,,,,,7460699001,843346134912,,"24""",,,Grey/Green,,,,,700.00,,492.97,TRUE,,,,,,shopify,2,DENY,9500,g,TRUE,manual,,,,,,,,,,,,7460699001,,,,,,,,,
,marin-bayview-trail,,,,,,,,740698001,843346134905,,"24""",,,Red/Blue,,,,,700.00,,504.50,TRUE,,,,,,shopify,2,DENY,9500,g,TRUE,manual,,,,,,,,,,,,740698001,,,,,,,,,
